location_key,country_name,iso_3166_1_alpha_3,population_male,population_female,date,new_tested,new_confirmed,new_deceased,search_trends_cough,search_trends_fever,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,cumulative_confirmed,cumulative_persons_fully_vaccinated,hdi,new_persons_vaccinated,new_persons_fully_vaccinated,adult_male_mortality_rate,adult_female_mortality_rate,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,new_recovered,new_intensive_care_patients,Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,GDP 1960,GDP 1961,GDP 1962,GDP 1963,GDP 1964,GDP 1965,GDP 1966,GDP 1967,GDP 1968,GDP 1969,GDP 1970,GDP 1971,GDP 1972,GDP 1973,GDP 1974,GDP 1975,GDP 1976,GDP 1977,GDP 1978,GDP 1979,GDP 1980,GDP 1981,GDP 1982,GDP 1983,GDP 1984,GDP 1985,GDP 1986,GDP 1987,GDP 1988,GDP 1989,GDP 1990,GDP 1991,GDP 1992,GDP 1993,GDP 1994,GDP 1995,GDP 1996,GDP 1997,GDP 1998,GDP 1999,GDP 2000,GDP 2001,GDP 2002,GDP 2003,GDP 2004,GDP 2005,GDP 2006,GDP 2007,GDP 2008,GDP 2009,GDP 2010,GDP 2011,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP 2016,inflation 2017,inflation 2018,inflation 2019,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita,TradeValue in 1000 USD
GB,United Kingdom,GBR,32901036,33746076,2020-12-22,457086,46475,564,5.05,4.12,-26.0,17.0,14.0,-52.0,-50.0,16.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-11-23,218594,19024,465,4.92,4.34,-44.0,-12.0,4.0,-50.0,-39.0,15.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-10-23,350370,21694,224,5.14,4.94,-28.0,-6.0,19.0,-41.0,-35.0,12.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-07-28,154946,856,12,3.37,3.98,-26.0,-10.0,100.0,-42.0,-48.0,14.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-09-14,221192,3428,21,7.46,8.24,-17.0,-9.0,104.0,-32.0,-36.0,8.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-11-24,316284,16677,465,4.82,4.44,-47.0,-10.0,3.0,-50.0,-38.0,15.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-11-29,219845,10851,466,4.67,3.82,-53.0,-15.0,5.0,-54.0,-24.0,9.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-10-10,280996,12648,105,5.78,4.87,-31.0,-10.0,14.0,-37.0,-8.0,6.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-08-23,175209,831,16,3.52,3.77,-26.0,-17.0,64.0,-29.0,-7.0,2.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-12-07,222150,21585,426,4.67,4.18,-26.0,-5.0,-4.0,-43.0,-34.0,12.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-07-19,120968,448,14,2.93,3.46,-35.0,-16.0,78.0,-32.0,-10.0,3.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-08-17,150174,1298,12,3.23,3.9,-9.0,-14.0,80.0,-41.0,-48.0,11.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-10-24,318112,16434,214,5.08,4.71,-38.0,-12.0,-10.0,-44.0,-13.0,8.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-10-29,377709,23614,314,5.2,5.27,-27.0,-9.0,4.0,-48.0,-44.0,15.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-11-09,253031,31511,487,5.41,5.48,-47.0,-15.0,5.0,-50.0,-39.0,15.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-07-22,147595,816,18,3.45,4.18,-29.0,-11.0,89.0,-44.0,-46.0,14.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-07-17,177625,582,18,2.81,4.05,-33.0,-10.0,93.0,-41.0,-44.0,13.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
GB,United Kingdom,GBR,32901036,33746076,2020-08-13,169857,1156,9,3.38,4.03,-24.0,-10.0,89.0,-43.0,-48.0,13.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21.0,GBR,United Kingdom,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,6.11,3.7,10.93,2020,326.263199,22.809405,143.980921,149.420095,3.899688,3.442599,2.710492,4.865281,740299016.3610001
